"type","title","public_release_decision","export_gate","public_candidate","local_public_artifact","required_review","private_material_rule","reason"
"presentation","21Verse: Fantastic 50 Pitch Deck","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"presentation","21Verse Pitch Deck","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse: Activate Demo Day Presentation","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse: Partner Deck","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"presentation","21Verse: Investor Pitch Deck","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"presentation","21Verse: Recruiting Unity Developers","review_before_export","manual_review_before_export","maybe","","owner_review_and_redaction","Export only a sanitized derivative after review.","Needs manual public-release review."
"presentation","21Verse Showcase Summary","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse: Short Pitch Deck","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse Arabic Presentation","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse Presentation -APD Confrence","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse Presentation","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","Arabic - 21Verse Presentation","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse - Global Health Exhibition","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","Copy of 21Verse - Ifaada Ceremony","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","21Verse - Mutamim","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","Poster 1 for 21Verse","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"presentation","Poster 2 for 21Verse","already_included","already_staged_public_derivative","yes","docs/poster-2.pdf","verify_staged_artifact","Export only a sanitized derivative after review.","A local public-facing export is already staged in the repo."
"presentation","Avatars for Down Symdrome","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"document","21Verse Game Design Document [May 2024]","already_summarized","already_staged_sanitized_summary","yes","docs/game-design-summary.md","owner_review_and_redaction","Export only a sanitized derivative after review.","A sanitized derivative is already present in the repo."
"document","21Verse - Game Design Document (GDD)","sanitize_then_export_candidate","sanitize_and_owner_review_before_export","yes_after_review","","owner_review_and_redaction","Export only a sanitized derivative after review.","Potential public collateral, but requires redaction and owner review before export."
"document","21Verse - Game Design Document (GDD)","summarize_or_redact","summarize_or_redact_before_export","maybe","","owner_review_and_redaction","Export only a sanitized derivative after review.","May be useful as public documentation only after citation, anonymization, or redaction."
"document","21Verse Literature Review","summarize_or_redact","summarize_or_redact_before_export","maybe","","owner_review_and_redaction","Export only a sanitized derivative after review.","May be useful as public documentation only after citation, anonymization, or redaction."
"document","21Verse IRB Proposal","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"document","21Verse IRB Assent Form","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"document","21Verse Research Proposal","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"document","21Verse Plan: Short & Long Term","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"document","Collaboration Proposal Between 21Verse and SAUT","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21Verse Testing Session #2","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21Verse Testing Session #3","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21Verse Testing Session #4","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","Tracking 21Verse Pilot Test #1","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21Verse Test User Data: Math Practice Game [Sample Data]","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21Verse Financial Sheet [Not Complete]","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","Game Studios for 21Verse","exclude_private","keep_private_no_public_export","no","","none_keep_private","Do not export to the public repo.","Contains or likely contains private research, business, partner, investor, testing, financial, or outreach material."
"spreadsheet","21 verse project plan","summarize_or_redact","summarize_or_redact_before_export","maybe","","owner_review_and_redaction","Export only a sanitized derivative after review.","May be useful as public documentation only after citation, anonymization, or redaction."
